timestamp,device_id,bt_address,bt_name,bt_rssi
1762851295183,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,78:63:D8:44:2D:90,NA,-91
1762851295195,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7C:AF:BE:1E:E3:96,NA,-91
1762851296157,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4D:06:B3:1E:8F:D4,NA,-83
1762851296538,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-84
1762851297823,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:B1:3F:92:EB:49,NA,-68
1762851301918,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4F:4B:86:B7:0C:EE,NA,-89
1762851303937,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,20:28:BC:1A:1F:47,[LG] webOS TV OLED65C17LB,-100
1762851305169,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5B:EA:1E:02:AE:BC,NA,-89
1762851999070,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,53:23:43:AE:AC:FC,NA,-86
1762851999086,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:B1:3F:92:EB:49,NA,-62
1762851999097,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,47:07:F1:A7:37:FD,NA,-84
1762851999755,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,45:A9:37:B3:96:69,NA,-92
1762852000001,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-97
1762852000072,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4D:06:B3:1E:8F:D4,NA,-84
1762852000091,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,67:20:B6:A5:2F:01,NA,-93
1762852000107,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5E:3C:BA:55:3C:56,NA,-76
1762852000410,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,42:F4:F1:1B:E2:53,NA,-85
1762852000430,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:81:C2:8A:51:46,NA,-78
1762852000734,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,46:03:F0:D4:03:D7,NA,-85
1762852000754,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,72:49:EE:65:5C:85,NA,-85
1762852001287,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762852001351,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,75:16:3E:CD:BE:05,NA,-81
