pid,date,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:afternoon,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:allday,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:evening,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:morning,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:night,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:wkdy,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:wkend,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:afternoon,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:allday,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:evening,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:morning,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:night,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:wkdy,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:wkend,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:7dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:14dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:7dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:14dhist
P001,2025-11-02,0.443308729698835,0.29652434921499,0.343314279390827,0.230943225703076,0.0999960358714351,,,0.399977801232032,0.0833323698028075,0.0,0.0,0.0,,,0.3157701584313527,0.3157701584313527,0.0535708091589477,0.0535708091589477
P001,2025-11-03,0.226654087364818,0.262496964878844,0.366646317796029,0.278560385641855,0.226181509709198,0.307221511772476,,0.0,0.0416661849014037,0.199988900616016,0.0,0.0,0.0916664546879902,,0.262496964878844,0.262496964878844,0.0416661849014037,0.0416661849014037
P001,2025-11-04,0.343314279390827,0.307635331855364,0.423309839637233,0.292845533623488,0.223800651712259,,,0.199988900616016,0.0833323698028075,0.199988900616016,0.0,0.0,,,0.285066148367104,0.285066148367104,0.0624992773521056,0.0624992773521056
P001,2025-11-05,0.38331205951403,0.301385404120154,0.346647427734427,0.29046467562655,0.211896361727565,,,0.199988900616016,0.0416661849014037,0.0,0.0,0.0,,,0.2905059002847873,0.2905059002847873,0.0555549132018716,0.0555549132018716
P001,2025-11-06,0.353313724421628,0.336107224871324,0.576634663442846,0.276179527644916,0.207134645733687,,,0.199988900616016,0.166664739605615,0.599966701848047,0.0,0.0,,,0.3019062314314215,0.3019062314314215,0.0833323698028074,0.0833323698028074
P001,2025-11-07,0.386645207857631,0.328468424306066,0.473307064791237,0.295226391620427,0.221419793715321,,,0.199988900616016,0.124998554704211,0.399977801232032,0.0,0.0,,,0.3072186700063504,0.3072186700063504,0.0916656067830881,0.0916656067830881
P001,2025-11-08,0.353313724421628,0.324996242230949,0.303316499267624,0.407126717476557,0.249990089678588,,0.298956604990461,0.199988900616016,0.124998554704211,0.0,0.285702959632672,0.0,,0.0624996386739639,0.3101815987104501,0.3101815987104501,0.0972210981032753,0.0972210981032753
P001,2025-11-09,0.329981686016426,0.272913511104195,0.316649092642025,0.254751805672466,0.0880917458867404,,,0.0,0.0,0.0,0.0,0.0,,,0.3048575861952708,0.3048575861952708,0.0833323698028074,0.0833323698028074
P001,2025-11-10,0.316649092642025,0.284024493744569,0.349980576078028,0.288083817629611,0.228562367706137,0.296249314923459,,0.0,0.0,0.0,0.0,0.0,0.0333332562501783,,0.284024493744569,0.284024493744569,0.0,0.0
P001,2025-11-11,0.309982795954824,0.280552311669452,0.319982240985625,0.280941243638794,0.228562367706137,,,0.199988900616016,0.0416661849014037,0.0,0.0,0.0,,,0.2822884027070105,0.2822884027070105,0.02083309245070185,0.02083309245070185
P001,2025-11-12,0.366646317796029,0.310413077515458,0.396644652888431,0.288083817629611,0.235704941696954,,,0.199988900616016,0.0833323698028075,0.199988900616016,0.0,0.0,,,0.29166329430982635,0.29166329430982635,0.04166618490140373,0.04166618490140373
P001,2025-11-13,0.38331205951403,0.299996531290107,0.356646872765228,0.271417811651038,0.221419793715321,,,0.0,0.0,0.0,0.0,0.0,,,0.2937466035548965,0.2937466035548965,0.0312496386760528,0.0312496386760528
P001,2025-11-14,0.336647982703627,0.306246459025317,0.359980021108828,0.295226391620427,0.264275237660221,,,0.199988900616016,0.0416661849014037,0.0,0.0,0.0,,,0.2962465746489806,0.2962465746489806,0.03333294792112298,0.03333294792112298
P001,2025-11-15,0.459974471416836,0.320135187325785,0.38331205951403,0.252370947675527,0.247609231681649,,0.231595883308522,0.199988900616016,0.0416661849014037,0.0,0.0,0.0,,0.0208332128913213,0.3002280100951147,0.3002280100951147,0.034721820751169766,0.034721820751169766
P001,2025-11-16,0.109993895338809,0.14305390149482,,0.254751805672466,,,,0.0,0.0,,0.0,,,,0.2777745660093583,0.2777745660093583,0.029761560643859798,0.029761560643859798
