local_timezone,timestamp,device_id,sensor,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762739622000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:53:42,2025-11-10,02:53:42,2,53,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739854000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:57:34,2025-11-10,02:57:34,2,57,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739855000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:57:35,2025-11-10,02:57:35,2,57,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740182000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:03:02,2025-11-10,03:03:02,3,3,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740454000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:07:34,2025-11-10,03:07:34,3,7,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740455000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:07:35,2025-11-10,03:07:35,3,7,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740457000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:07:37,2025-11-10,03:07:37,3,7,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740463000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:07:43,2025-11-10,03:07:43,3,7,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762740754000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:12:34,2025-11-10,03:12:34,3,12,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741053000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:17:33,2025-11-10,03:17:33,3,17,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741055000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 03:17:35,2025-11-10,03:17:35,3,17,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762741353000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 03:22:33,2025-11-10,03:22:33,3,22,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
